Course,Link,GMAT,IELTS,Degree
accountingandfinance,https://warwick.ac.uk/study/postgraduate/courses/accountingandfinance,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.","Explore our Accounting and Finance taught Master's degree.Explore our Accounting and Finance taught Master's degree.Skills from this degreeFirst Class Honours degree or a high 2:i undergraduate degree (or equivalent) in a related subject.If you’re interested in the bigger picture, comfortable challenging assumptions and want a degree that will open doors, then WBS is the place for you. We will give you the foundation for change and prepare you for your future career. Are you ready to make your mark in the world of business?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
lifelonglearningphd,https://warwick.ac.uk/study/postgraduate/courses/lifelonglearningphd,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Find out more about this Adult Education and Lifelong Learning research degree.Find out more about this Adult Education and Lifelong Learning research degree.2:i undergraduate degree (or equivalent) in a relevant subject or a good Master’s degree (or equivalent) in a relevant subject. Supported by a good research proposal (2500 words).Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
,https://warwick.ac.uk/study/postgraduate/courses/cdttechnologies/,,"IELTS overall score of 6.5, minimum component scores not below 6.0.",Find out more about this CDT to Advance the Deployment of Future Mobility Technologies research degree.Find out more about this CDT to Advance the Deployment of Future Mobility Technologies research degree.2:i undergraduate degree in a related subject or Master's degree at merit level (or equivalent). Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
criticalcarepractice,https://warwick.ac.uk/study/postgraduate/courses/criticalcarepractice,,,"Explore our Advanced Clinical Practice (Critical Care) taught degree.Explore our Advanced Clinical Practice (Critical Care) taught degree.Skills from this degreeHold a BSc degree at 2nd class level, or evidence of Level 7 studyRobe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
clinicalpractice,https://warwick.ac.uk/study/postgraduate/courses/clinicalpractice,,,"Skills from this degreeHold a BSc degree at 2nd class level, or evidence of Level 7 studyRobe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
advancedlegalstudies,https://warwick.ac.uk/study/postgraduate/courses/advancedlegalstudies,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our Advanced Legal Studies taught Master's degree.Explore our Advanced Legal Studies taught Master's degree.Skills from this degree2:i undergraduate degree (or equivalent) in law or a related subject with a law component.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
advancedmechengineering,https://warwick.ac.uk/study/postgraduate/courses/advancedmechengineering,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Advanced Mechanical Engineering taught Master's degree.Explore our Advanced Mechanical Engineering taught Master's degree.A minimum of a 2:ii undergraduate degree (or equivalent) in a relevant branch of engineering or science.The degree comprises eight taught modules and a project. The individual research project is an in-depth experimental, theoretical or computational investigation of a topic chosen by you in conjunction with your academic supervisor. The MSc degree (totalling 180 credits) comprises: Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
analyticalpolymerscience,https://warwick.ac.uk/study/postgraduate/courses/analyticalpolymerscience,,"IELTS overall score of 6.5, minimum component scores not below 6.0.", taught Master's degree. taught Master's degree.2:ii undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
analyticalsciencesinstrumentation,https://warwick.ac.uk/study/postgraduate/courses/analyticalsciencesinstrumentation,,"IELTS overall score of 6.5, minimum component scores not below 6.0.","Explore our Analytical Sciences and Instrumentation taught Master's degree.Explore our Analytical Sciences and Instrumentation taught Master's degree.Delivered by internationally leading experts from the Departments of Chemistry, Physics, Statistics, Engineering and Life Sciences as well as from our industrial partners, this Royal Society of Chemistry accredited degree course enables you to gain hands-on practical experience with a range of equipment relevant to wider analytical sciences. This will enable you to work in any modern laboratory and give you an excellent opportunity to start your career in the field of analytical sciences.2:ii undergraduate degree (or equivalent) in a related subject.Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick."
ancientlitandthought,https://warwick.ac.uk/study/postgraduate/courses/ancientlitandthought,,"IELTS overall score of 7.0, minimum component scores of two at 6.0/6.5 and the rest at 7.0 or above.",Explore our Ancient Literature and Thought taught Master's degree.Explore our Ancient Literature and Thought taught Master's degree.Skills from this degreeApplicants will need to have achieved or be expecting to achieve a firm 2:i undergraduate degree in Classics or a similar course of academic study with substantial course components in the area of Classics to be considered for entry. Applicants must have degree-level competence in at least one ancient language (Ancient Greek or Latin).What can you do with a Classics and Ancient History degree?Robe hire for your degree ceremonyHere is our checklist on how to apply for research postgraduate degrees at the University of Warwick.
